date,close
2015-08-31,41.82
2015-09-01,43.36
2015-09-02,43.5
2015-09-03,42.61
2015-09-07,43.89
2015-09-08,43.07
2015-09-09,43.29
2015-09-10,43.48
2015-09-13,43.04
2015-09-14,43.98
2015-09-15,44.3
2015-09-16,44.25
2015-09-17,43.48
2015-09-20,44.11
2015-09-21,43.9
2015-09-22,43.87
2015-09-23,43.91
2015-09-24,43.94
2015-09-27,43.29
2015-09-28,43.44
2015-09-29,44.2
2015-09-30,44.61
2015-10-01,45.57
2015-10-04,46.63
2015-10-05,46.75
2015-10-06,46.8
2015-10-07,47.45
2015-10-08,47.11
2015-10-11,47.0
2015-10-12,46.89
2015-10-13,46.68
2015-10-14,47.01
2015-10-15,47.51
2015-10-18,47.62
2015-10-19,47.77
2015-10-20,47.2
2015-10-21,48.03
2015-10-22,52.87
2015-10-25,54.25
2015-10-26,53.69
2015-10-27,53.98
2015-10-28,53.36
2015-10-29,52.64
2015-11-01,53.24
2015-11-02,54.15
2015-11-03,54.4
2015-11-04,54.38
2015-11-05,54.92
2015-11-08,54.16
2015-11-09,53.51
2015-11-10,53.65
2015-11-11,53.32
2015-11-12,52.84
2015-11-15,53.765
2015-11-16,52.97
2015-11-17,53.85
2015-11-18,53.94
2015-11-19,54.19
2015-11-22,54.19
2015-11-23,54.25
2015-11-24,53.69
2015-11-26,53.93
2015-11-29,54.35
2015-11-30,55.22
2015-12-01,55.21
2015-12-02,54.2
2015-12-03,55.91
2015-12-06,55.81
2015-12-07,55.79
2015-12-08,54.98
2015-12-09,55.27
2015-12-10,54.06
2015-12-13,55.14
2015-12-14,55.2
2015-12-15,56.13
2015-12-16,55.7
2015-12-17,54.13
2015-12-20,54.83
2015-12-21,55.35
2015-12-22,55.82
2015-12-23,55.67
2015-12-27,55.95
2015-12-28,56.55
2015-12-29,56.31
2015-12-30,55.48
2016-01-03,54.8
2016-01-04,55.05
2016-01-05,54.05
2016-01-06,52.17
2016-01-07,52.33
2016-01-10,52.3
2016-01-11,52.78
2016-01-12,51.64
2016-01-13,53.11
2016-01-14,50.99
2016-01-18,50.56
2016-01-19,50.79
2016-01-20,50.48
2016-01-21,52.29
2016-01-24,51.79
2016-01-25,52.17
2016-01-26,51.22
2016-01-27,52.055
2016-01-28,55.09
2016-01-31,54.71
2016-02-01,53.0
2016-02-02,52.16
2016-02-03,52.0
2016-02-04,50.16
2016-02-07,49.41
2016-02-08,49.28
2016-02-09,49.71
2016-02-10,49.69
2016-02-11,50.5
2016-02-15,51.09
2016-02-16,52.42
2016-02-17,52.19
2016-02-18,51.82
2016-02-21,52.65
2016-02-22,51.18
2016-02-23,51.36
2016-02-24,52.1
2016-02-25,51.3
2016-02-28,50.88
2016-02-29,52.58
2016-03-01,52.95
2016-03-02,52.35
2016-03-03,52.03
2016-03-06,51.03
2016-03-07,51.65
2016-03-08,52.84
2016-03-09,52.05
2016-03-10,53.07
2016-03-13,53.17
2016-03-14,53.59
2016-03-15,54.35
2016-03-16,54.66
2016-03-17,53.49
2016-03-20,53.86
2016-03-21,54.07
2016-03-22,53.97
2016-03-23,54.21
2016-03-27,53.54
2016-03-28,54.71
2016-03-29,55.05
2016-03-30,55.23
2016-03-31,55.57
2016-04-03,55.43
2016-04-04,54.56
2016-04-05,55.12
2016-04-06,54.46
2016-04-07,54.42
2016-04-10,54.31
2016-04-11,54.65
2016-04-12,55.35
2016-04-13,55.36
2016-04-14,55.65
2016-04-17,56.46
2016-04-18,56.39
2016-04-19,55.59
2016-04-20,55.78
2016-04-21,51.78
2016-04-24,52.11
2016-04-25,51.44
2016-04-26,50.94
2016-04-27,49.9
2016-04-28,49.87
2016-05-01,50.61
2016-05-02,49.78
2016-05-03,49.87
2016-05-04,49.94
2016-05-05,50.39
2016-05-08,50.07
2016-05-09,51.02
2016-05-10,51.05
2016-05-11,51.51
2016-05-12,51.08
2016-05-15,51.83
2016-05-16,50.51
2016-05-17,50.81
2016-05-18,50.32
2016-05-19,50.62
2016-05-22,50.03
2016-05-23,51.59
2016-05-24,52.12
2016-05-25,51.89
2016-05-26,52.32
2016-05-30,53.0
2016-05-31,52.85
2016-06-01,52.48
2016-06-02,51.79
2016-06-05,52.13
2016-06-06,52.1
2016-06-07,52.04
2016-06-08,51.62
2016-06-09,51.48
2016-06-12,50.14
2016-06-13,49.83
2016-06-14,49.69
2016-06-15,50.39
2016-06-16,50.13
2016-06-19,50.07
2016-06-20,51.19
2016-06-21,50.99
2016-06-22,51.91
2016-06-23,49.83
2016-06-26,48.43
2016-06-27,49.44
2016-06-28,50.54
2016-06-29,51.17
2016-06-30,51.16
2016-07-04,51.17
2016-07-05,51.38
2016-07-06,51.38
2016-07-07,52.3
2016-07-10,52.59
2016-07-11,53.21
2016-07-12,53.51
2016-07-13,53.74
2016-07-14,53.7
2016-07-17,53.96
2016-07-18,53.09
2016-07-19,55.91
2016-07-20,55.8
2016-07-21,56.57
2016-07-24,56.73
2016-07-25,56.76
2016-07-26,56.19
2016-07-27,56.21
2016-07-28,56.68
2016-07-31,56.58
2016-08-01,56.58
2016-08-02,56.97
2016-08-03,57.39
2016-08-04,57.96
2016-08-07,58.06
2016-08-08,58.2
2016-08-09,58.02
2016-08-10,58.3
2016-08-11,57.94
2016-08-14,58.12
2016-08-15,57.44
2016-08-16,57.56
2016-08-17,57.6
2016-08-18,57.62
2016-08-21,57.67
2016-08-22,57.89
2016-08-23,57.95
2016-08-24,58.17
2016-08-25,58.03
2016-08-28,58.1
2016-08-29,57.89
2016-08-30,57.46
2016-08-31,57.59
2016-09-01,57.67
2016-09-05,57.61
2016-09-06,57.66
2016-09-07,57.43
2016-09-08,56.21
2016-09-11,57.05
2016-09-12,56.53
2016-09-13,56.26
2016-09-14,57.19
2016-09-15,57.25
2016-09-18,56.93
2016-09-19,56.81
2016-09-20,57.76
2016-09-21,57.82
2016-09-22,57.43
2016-09-25,56.9
2016-09-26,57.95
2016-09-27,58.03
2016-09-28,57.4
2016-09-29,57.6
2016-10-02,57.42
2016-10-03,57.24
2016-10-04,57.64
2016-10-05,57.74
2016-10-06,57.8
2016-10-09,58.04
2016-10-10,57.19
2016-10-11,57.11
2016-10-12,56.92
2016-10-13,57.42
2016-10-16,57.22
2016-10-17,57.66
2016-10-18,57.53
2016-10-19,57.25
2016-10-20,59.66
2016-10-23,61.0
2016-10-24,60.99
2016-10-25,60.63
2016-10-26,60.1
2016-10-27,59.87
2016-10-30,59.92
2016-10-31,59.8
2016-11-01,59.43
2016-11-02,59.21
2016-11-03,58.71
2016-11-06,60.42
2016-11-07,60.47
2016-11-08,60.17
2016-11-09,58.7
2016-11-10,59.02
2016-11-13,58.12
2016-11-14,58.87
2016-11-15,59.65
2016-11-16,60.64
2016-11-17,60.35
2016-11-20,60.86
2016-11-21,61.12
2016-11-22,60.4
2016-11-24,60.53
2016-11-27,60.61
2016-11-28,61.09
2016-11-29,60.26
2016-11-30,59.2
2016-12-01,59.25
2016-12-04,60.22
2016-12-05,59.95
2016-12-06,61.37
2016-12-07,61.01
2016-12-08,61.97
2016-12-11,62.17
2016-12-12,62.98
2016-12-13,62.68
2016-12-14,62.58
2016-12-15,62.3
2016-12-18,63.62
2016-12-19,63.54
2016-12-20,63.54
2016-12-21,63.55
2016-12-22,63.24
2016-12-26,63.28
2016-12-27,62.99
2016-12-28,62.9
2016-12-29,62.14
2017-01-02,62.58
2017-01-03,62.3
2017-01-04,62.3
2017-01-05,62.84
2017-01-08,62.64
2017-01-09,62.62
2017-01-10,63.19
2017-01-11,62.61
2017-01-12,62.7
2017-01-16,62.53
2017-01-17,62.5
2017-01-18,62.3
2017-01-19,62.74
2017-01-22,62.96
2017-01-23,63.52
2017-01-24,63.68
2017-01-25,64.27
2017-01-26,65.78
2017-01-29,65.13
2017-01-30,64.65
2017-01-31,63.58
2017-02-01,63.17
2017-02-02,63.68
2017-02-05,63.64
2017-02-06,63.43
2017-02-07,63.34
2017-02-08,64.06
2017-02-09,64.0
2017-02-12,64.72
2017-02-13,64.57
2017-02-14,64.53
2017-02-15,64.52
2017-02-16,64.62
2017-02-20,64.49
2017-02-21,64.36
2017-02-22,64.62
2017-02-23,64.62
2017-02-26,64.23
2017-02-27,63.98
2017-02-28,64.94
2017-03-01,64.01
2017-03-02,64.25
2017-03-05,64.27
2017-03-06,64.4
2017-03-07,64.99
2017-03-08,64.73
2017-03-09,64.93
2017-03-12,64.71
2017-03-13,64.41
2017-03-14,64.75
2017-03-15,64.64
2017-03-16,64.87
2017-03-19,64.93
2017-03-20,64.21
2017-03-21,65.03
2017-03-22,64.87
2017-03-23,64.98
2017-03-26,65.1
2017-03-27,65.29
2017-03-28,65.47
2017-03-29,65.71
2017-03-30,65.86
2017-04-02,65.55
2017-04-03,65.73
2017-04-04,65.56
2017-04-05,65.73
2017-04-06,65.68
2017-04-09,65.53
2017-04-10,65.48
2017-04-11,65.23
2017-04-12,64.95
2017-04-16,65.48
2017-04-17,65.39
2017-04-18,65.04
2017-04-19,65.5
2017-04-20,66.4
2017-04-23,67.53
2017-04-24,67.92
2017-04-25,67.83
2017-04-26,68.27
2017-04-27,68.46
2017-04-30,69.41
2017-05-01,69.3
2017-05-02,69.08
2017-05-03,68.81
2017-05-04,69.0
2017-05-07,68.94
2017-05-08,69.04
2017-05-09,69.31
2017-05-10,68.46
2017-05-11,68.38
2017-05-14,68.43
2017-05-15,69.41
2017-05-16,67.48
2017-05-17,67.71
2017-05-18,67.69
2017-05-21,68.45
2017-05-22,68.68
2017-05-23,68.77
2017-05-24,69.62
2017-05-25,69.96
2017-05-29,70.41
2017-05-30,69.84
2017-05-31,70.1
2017-06-01,71.76
2017-06-04,72.28
2017-06-05,72.52
2017-06-06,72.39
2017-06-07,71.95
2017-06-08,70.32
2017-06-11,69.78
2017-06-12,70.65
2017-06-13,70.27
2017-06-14,69.9
2017-06-15,70.0
2017-06-18,70.87
2017-06-19,69.91
2017-06-20,70.27
2017-06-21,70.26
2017-06-22,71.21
2017-06-25,70.53
2017-06-26,69.21
2017-06-27,69.8
2017-06-28,68.49
2017-06-29,68.93
2017-07-02,68.17
2017-07-04,69.08
2017-07-05,68.57
2017-07-06,69.46
2017-07-09,69.98
2017-07-10,69.99
2017-07-11,71.15
2017-07-12,71.77
2017-07-13,72.78
2017-07-16,73.35
